Anguillans,Anguillan:Npl
Angus,Angus:PN
Anhalt,Anhalt:PN
Anhui,Anhui:PN
Anita,Anita:PN
Anjou,Anjou:PN
Ankara,Ankara:PN
Anlage,Anlage:N
Anlages,Anlage:Npl
Ann,Ann:PN
Anna,Anna:PN
Annaba,Annaba:PN
Annabel,Annabel:PN
Annabelle,Annabelle:PN
Annam,Annam:PN
Annamese,Annamese:A
Annamese,Annamese:N
Annamese,Annamese:Npl
Annamite,Annamite:A
Annandale,Annandale:PN
Annapolis,Annapolis:PN
Annapurna,Annapurna:PN
Anne,Anne:PN
Annecy,Annecy:PN
Annette,Annette:PN
Annunzio,Annunzio:PN
Anon,Anon:PN
Anselm,Anselm:PN
Anshan,Anshan:PN
Ant,Ant:PN
Antaean,Antaean:A
Antaeus,Antaeus:PN
Antakya,Antakya:PN
Antalya,Antalya:PN
Antananarivo,Antananarivo:PN
Antarc,Antarc:PN
Antarctica,Antarctica:PN
Antares,Antares:PN
Anthony,Anthony:PN
Anti-Lebanon,Anti-Lebanon:PN
Antichrist,Antichrist:N
Antichrists,Antichrist:Npl
Anticosti,Anticosti:PN
Antietam,Antietam:PN
Antifederalist,Antifederalist:A
Antifederalist,Antifederalist:N
Antifederalists,Antifederalist:Npl
Antigone,Antigone:PN
Antigua,Antigua:PN
Antiguan,Antiguan:A
Antiguan,Antiguan:N
Antiguans,Antiguan:Npl
Antillean,Antillean:A
Antilles,Antilles:PN
Antinomian,Antinomian:A
Antinomian,Antinomian:N
Antinomians,Antinomian:Npl
Antioch,Antioch:PN
Antiochus,Antiochus:PN
Antipater,Antipater:PN
Antiremonstrant,Antiremonstrant:N
Antiremonstrants,Antiremonstrant:Npl
Antisana,Antisana:PN
Antisthenes,Antisthenes:PN
Antlia,Antlia:PN
Antofagasta,Antofagasta:PN
Antoinette,Antoinette:PN
Antonia,Antonia:PN
Antony,Antony:PN
Antrim,Antrim:PN
Antron,Antron:PN
Antung,Antung:PN
Antwerp,Antwerp:PN
Anubis,Anubis:PN
Anzac,Anzac:N
Anzacs,Anzac:Npl
Anzio,Anzio:PN
Aomori,Aomori:PN
Aorangi,Aorangi:PN
Aosta,Aosta:PN
Ap,Ap:PN
Apache,Apache:N
Apaches,Apache:Npl
Apalachicola,Apalachicola:PN
Apeldoorn,Apeldoorn:PN
Apelles,Apelles:PN
Apennines,Apennines:PN
Aphrodite,Aphrodite:N
Aphrodites,Aphrodite:Npl
Apia,Apia:PN
Apis,Apis:PN
Apoc,Apoc:PN
Apocalypse,Apocalypse:N
Apocalypses,Apocalypse:Npl
Apocrypha,Apocrypha:Npl
Apocryphal,Apocryphal:A
Apollo,Apollo:N
Apollonian,Apollonian:A
Apollos,Apollo:Npl
Apollyon,Apollyon:PN
Apostle,Apostle:N
Apostles,Apostle:Npl
Apostolic,Apostolic:A
Appalachia,Appalachia:PN
Appalachian,Appalachian:A
Appalachians,Appalachians:PN
Appenzell,Appenzell:PN
Appleton,Appleton:PN
Appomattox,Appomattox:PN
Apr,Apr:PN
April,April:N
April,April:PN
Aprils,April:Npl
Apulia,Apulia:PN
Apure,Apure:PN
Apus,Apus:PN
Aqua-lung,Aqua-lung:N
Aqua-lungs,Aqua-lung:Npl
Aquarian,Aquarian:N
Aquarians,Aquarian:Npl
Aquarius,Aquarius:N
Aquariuses,Aquarius:Npl
Aquila,Aquila:PN
